time,value
0,111.58658035123194
1,99.65445597060088
2,116.37851490411902
3,135.82719766543548
4,97.92169483694836
5,98.9949309079733
6,136.010548997428
7,118.79527116154688
8,93.95121411206186
9,114.66001110667405
10,94.65801697985125
11,92.7776670401176
12,106.36367700144646
13,69.67271322334035
14,71.8092988906404
15,91.32193014416391
16,85.32035644715194
17,109.49937267224158
18,86.84332339536574
19,76.81604619950963
20,136.52184961715432
21,100.2907897705739
22,104.10616000370779
23,77.50651462080377
24,93.05407400984296
25,106.5993871726376
26,80.33999120624121
27,111.34116082790074
28,92.40641752430088
29,95.49247076137982
30,90.14466008994688
31,141.43726598522636
32,102.4608308458724
33,83.6820760859107
34,121.62983542658664
35,80.14768099867388
36,108.84951144698472
37,66.26680305861657
38,76.49697476316466
39,106.92043136467377
40,118.69872993861765
41,106.42403796350332
42,98.63296677741465
43,96.97946948419896
44,74.31111796814665
45,89.79096406529528
46,94.36601090421243
47,124.32007213921699
48,109.47657240295848
49,69.78829396027781
50,109.52403070984143
51,96.40178507486554
52,88.9340573420435
53,116.11172017466535
54,124.15269284693343
55,121.70001221032271
56,86.81290522687661
57,95.87612245393589
58,109.18135478370935
59,122.26471294491051
60,95.6108483262252
61,99.35655327431125
62,81.39755208659577
63,80.7207577166153
64,119.7983866102505
65,131.74321798698105
66,102.17914972604676
67,124.83524394503934
68,109.83299996795441
69,89.93796616503461
70,110.08346719669741
71,133.82436664437023
72,100.76957166068074
73,138.10785715340367
74,59.11313004210857
75,119.86453777464637
76,105.32507551990804
77,97.4205085408588
78,107.92251637927566
79,68.31862680970451
80,98.52690039007508
81,109.31424037836625
82,133.13560538205522
83,93.10666328954369
84,86.72743910277114
85,91.7943655494983
86,121.4994305068924
87,108.60155148168177
88,94.37258343322709
89,114.41043187711134
90,104.9430023962316
91,124.79111706723226
92,89.52918497672331
93,95.69283534902942
94,96.83470981837921
95,76.41048708444843
96,107.97284660545387
97,108.09891662064712
98,102.22667702690329
99,96.9804887246779
100,77.62203704397571
101,96.67345267272731
102,94.86459533548366
103,88.16107266896789
104,99.1496562783456
105,110.75714884741865
106,143.6890213538971
107,105.6580428996901
108,108.26586164616157
109,100.68567376263988
110,68.57671549645917
111,102.42018736715787
112,103.96928383014367
113,157.42484029238508
114,98.61301211458073
115,109.8772688721665
116,102.80788670047559
117,80.01469235842504
118,127.2618325811057
119,119.35545106275278
120,117.77696520098227
121,86.1825966394232
122,132.3610943385708
123,77.4987638149994
124,114.3182839680066
125,149.80232626417762
